rm_id,interval_days,year,month,day,num_orders_last_year,total_weight_orders_last_year
365,1,2025,1,2,0,0.0
365,2,2025,1,3,0,0.0
365,3,2025,1,4,0,0.0
365,4,2025,1,5,0,0.0
365,5,2025,1,6,0,0.0
365,6,2025,1,7,0,0.0
365,7,2025,1,8,0,0.0
365,8,2025,1,9,0,0.0
365,9,2025,1,10,0,0.0
365,10,2025,1,11,0,0.0
365,11,2025,1,12,0,0.0
365,12,2025,1,13,0,0.0
365,13,2025,1,14,0,0.0
365,14,2025,1,15,0,0.0
365,15,2025,1,16,0,0.0
365,16,2025,1,17,0,0.0
365,17,2025,1,18,0,0.0
365,18,2025,1,19,0,0.0
365,19,2025,1,20,0,0.0
365,20,2025,1,21,0,0.0
365,21,2025,1,22,0,0.0
365,22,2025,1,23,0,0.0
365,23,2025,1,24,0,0.0
365,24,2025,1,25,0,0.0
365,25,2025,1,26,0,0.0
365,26,2025,1,27,0,0.0
365,27,2025,1,28,0,0.0
365,28,2025,1,29,0,0.0
365,29,2025,1,30,0,0.0
365,30,2025,1,31,0,0.0
365,31,2025,2,1,0,0.0
365,32,2025,2,2,0,0.0
365,33,2025,2,3,0,0.0
365,34,2025,2,4,0,0.0
365,35,2025,2,5,0,0.0
365,36,2025,2,6,0,0.0
365,37,2025,2,7,0,0.0
365,38,2025,2,8,0,0.0
365,39,2025,2,9,0,0.0
365,40,2025,2,10,0,0.0
365,41,2025,2,11,0,0.0
365,42,2025,2,12,0,0.0
365,43,2025,2,13,0,0.0
365,44,2025,2,14,0,0.0
365,45,2025,2,15,0,0.0
365,46,2025,2,16,0,0.0
365,47,2025,2,17,0,0.0
365,48,2025,2,18,0,0.0
365,49,2025,2,19,0,0.0
365,50,2025,2,20,0,0.0
365,51,2025,2,21,0,0.0
365,52,2025,2,22,0,0.0
365,53,2025,2,23,0,0.0
365,54,2025,2,24,0,0.0
365,55,2025,2,25,0,0.0
365,56,2025,2,26,0,0.0
365,57,2025,2,27,0,0.0
365,58,2025,2,28,0,0.0
365,59,2025,3,1,0,0.0
365,60,2025,3,2,0,0.0
365,61,2025,3,3,0,0.0
365,62,2025,3,4,0,0.0
365,63,2025,3,5,0,0.0
365,64,2025,3,6,0,0.0
365,65,2025,3,7,0,0.0
365,66,2025,3,8,0,0.0
365,67,2025,3,9,0,0.0
365,68,2025,3,10,0,0.0
365,69,2025,3,11,0,0.0
365,70,2025,3,12,0,0.0
365,71,2025,3,13,0,0.0
365,72,2025,3,14,0,0.0
365,73,2025,3,15,0,0.0
365,74,2025,3,16,0,0.0
365,75,2025,3,17,0,0.0
365,76,2025,3,18,0,0.0
365,77,2025,3,19,0,0.0
365,78,2025,3,20,0,0.0
365,79,2025,3,21,0,0.0
365,80,2025,3,22,0,0.0
365,81,2025,3,23,0,0.0
365,82,2025,3,24,0,0.0
365,83,2025,3,25,0,0.0
365,84,2025,3,26,0,0.0
365,85,2025,3,27,0,0.0
365,86,2025,3,28,0,0.0
365,87,2025,3,29,0,0.0
365,88,2025,3,30,0,0.0
365,89,2025,3,31,0,0.0
365,90,2025,4,1,0,0.0
365,91,2025,4,2,0,0.0
365,92,2025,4,3,0,0.0
365,93,2025,4,4,0,0.0
365,94,2025,4,5,0,0.0
365,95,2025,4,6,0,0.0
365,96,2025,4,7,0,0.0
365,97,2025,4,8,0,0.0
365,98,2025,4,9,0,0.0
365,99,2025,4,10,0,0.0
365,100,2025,4,11,0,0.0
365,101,2025,4,12,0,0.0
365,102,2025,4,13,0,0.0
365,103,2025,4,14,0,0.0
365,104,2025,4,15,0,0.0
365,105,2025,4,16,0,0.0
365,106,2025,4,17,0,0.0
365,107,2025,4,18,0,0.0
365,108,2025,4,19,0,0.0
365,109,2025,4,20,0,0.0
365,110,2025,4,21,0,0.0
365,111,2025,4,22,0,0.0
365,112,2025,4,23,0,0.0
365,113,2025,4,24,0,0.0
365,114,2025,4,25,0,0.0
365,115,2025,4,26,0,0.0
365,116,2025,4,27,0,0.0
365,117,2025,4,28,0,0.0
365,118,2025,4,29,0,0.0
365,119,2025,4,30,0,0.0
365,120,2025,5,1,0,0.0
365,121,2025,5,2,0,0.0
365,122,2025,5,3,0,0.0
365,123,2025,5,4,0,0.0
365,124,2025,5,5,0,0.0
365,125,2025,5,6,0,0.0
365,126,2025,5,7,0,0.0
365,127,2025,5,8,0,0.0
365,128,2025,5,9,0,0.0
365,129,2025,5,10,0,0.0
365,130,2025,5,11,0,0.0
365,131,2025,5,12,0,0.0
365,132,2025,5,13,0,0.0
365,133,2025,5,14,0,0.0
365,134,2025,5,15,0,0.0
365,135,2025,5,16,0,0.0
365,136,2025,5,17,0,0.0
365,137,2025,5,18,0,0.0
365,138,2025,5,19,0,0.0
365,139,2025,5,20,0,0.0
365,140,2025,5,21,0,0.0
365,141,2025,5,22,0,0.0
365,142,2025,5,23,0,0.0
365,143,2025,5,24,0,0.0
365,144,2025,5,25,0,0.0
365,145,2025,5,26,0,0.0
365,146,2025,5,27,0,0.0
365,147,2025,5,28,0,0.0
365,148,2025,5,29,0,0.0
365,149,2025,5,30,0,0.0
365,150,2025,5,31,0,0.0
379,1,2025,1,2,0,0.0
379,2,2025,1,3,0,0.0
379,3,2025,1,4,0,0.0
379,4,2025,1,5,0,0.0
379,5,2025,1,6,0,0.0
379,6,2025,1,7,0,0.0
379,7,2025,1,8,0,0.0
379,8,2025,1,9,0,0.0
379,9,2025,1,10,0,0.0
379,10,2025,1,11,0,0.0
379,11,2025,1,12,0,0.0
379,12,2025,1,13,0,0.0
379,13,2025,1,14,0,0.0
379,14,2025,1,15,0,0.0
379,15,2025,1,16,0,0.0
379,16,2025,1,17,0,0.0
379,17,2025,1,18,0,0.0
379,18,2025,1,19,0,0.0
379,19,2025,1,20,0,0.0
379,20,2025,1,21,0,0.0
379,21,2025,1,22,0,0.0
379,22,2025,1,23,0,0.0
379,23,2025,1,24,0,0.0
379,24,2025,1,25,0,0.0
379,25,2025,1,26,0,0.0
379,26,2025,1,27,0,0.0
379,27,2025,1,28,0,0.0
379,28,2025,1,29,0,0.0
379,29,2025,1,30,0,0.0
379,30,2025,1,31,0,0.0
379,31,2025,2,1,0,0.0
379,32,2025,2,2,0,0.0
379,33,2025,2,3,0,0.0
379,34,2025,2,4,0,0.0
379,35,2025,2,5,0,0.0
379,36,2025,2,6,0,0.0
379,37,2025,2,7,0,0.0
379,38,2025,2,8,0,0.0
379,39,2025,2,9,0,0.0
379,40,2025,2,10,0,0.0
379,41,2025,2,11,0,0.0
379,42,2025,2,12,0,0.0
379,43,2025,2,13,0,0.0
379,44,2025,2,14,0,0.0
379,45,2025,2,15,0,0.0
379,46,2025,2,16,0,0.0
379,47,2025,2,17,0,0.0
379,48,2025,2,18,0,0.0
379,49,2025,2,19,0,0.0
379,50,2025,2,20,0,0.0
379,51,2025,2,21,0,0.0
379,52,2025,2,22,0,0.0
379,53,2025,2,23,0,0.0
379,54,2025,2,24,0,0.0
379,55,2025,2,25,0,0.0
379,56,2025,2,26,0,0.0
379,57,2025,2,27,0,0.0
379,58,2025,2,28,0,0.0
379,59,2025,3,1,0,0.0
379,60,2025,3,2,0,0.0
379,61,2025,3,3,0,0.0
379,62,2025,3,4,0,0.0
379,63,2025,3,5,0,0.0
379,64,2025,3,6,0,0.0
379,65,2025,3,7,0,0.0
379,66,2025,3,8,0,0.0
379,67,2025,3,9,0,0.0
379,68,2025,3,10,0,0.0
379,69,2025,3,11,0,0.0
379,70,2025,3,12,0,0.0
379,71,2025,3,13,0,0.0
379,72,2025,3,14,0,0.0
379,73,2025,3,15,0,0.0
379,74,2025,3,16,0,0.0
379,75,2025,3,17,0,0.0
379,76,2025,3,18,0,0.0
379,77,2025,3,19,0,0.0
379,78,2025,3,20,0,0.0
379,79,2025,3,21,0,0.0
379,80,2025,3,22,0,0.0
379,81,2025,3,23,0,0.0
379,82,2025,3,24,0,0.0
379,83,2025,3,25,0,0.0
379,84,2025,3,26,0,0.0
379,85,2025,3,27,0,0.0
379,86,2025,3,28,0,0.0
379,87,2025,3,29,0,0.0
379,88,2025,3,30,0,0.0
379,89,2025,3,31,0,0.0
379,90,2025,4,1,0,0.0
379,91,2025,4,2,0,0.0
379,92,2025,4,3,0,0.0
379,93,2025,4,4,0,0.0
379,94,2025,4,5,0,0.0
379,95,2025,4,6,0,0.0
379,96,2025,4,7,0,0.0
379,97,2025,4,8,0,0.0
379,98,2025,4,9,0,0.0
379,99,2025,4,10,0,0.0
379,100,2025,4,11,0,0.0
379,101,2025,4,12,0,0.0
379,102,2025,4,13,0,0.0
379,103,2025,4,14,0,0.0
379,104,2025,4,15,0,0.0
379,105,2025,4,16,0,0.0
379,106,2025,4,17,0,0.0
379,107,2025,4,18,0,0.0
379,108,2025,4,19,0,0.0
379,109,2025,4,20,0,0.0
379,110,2025,4,21,0,0.0
379,111,2025,4,22,0,0.0
379,112,2025,4,23,0,0.0
379,113,2025,4,24,0,0.0
379,114,2025,4,25,0,0.0
379,115,2025,4,26,0,0.0
379,116,2025,4,27,0,0.0
379,117,2025,4,28,0,0.0
379,118,2025,4,29,0,0.0
379,119,2025,4,30,0,0.0
379,120,2025,5,1,0,0.0
379,121,2025,5,2,0,0.0
379,122,2025,5,3,0,0.0
379,123,2025,5,4,0,0.0
379,124,2025,5,5,0,0.0
379,125,2025,5,6,0,0.0
379,126,2025,5,7,0,0.0
379,127,2025,5,8,0,0.0
379,128,2025,5,9,0,0.0
379,129,2025,5,10,0,0.0
379,130,2025,5,11,0,0.0
379,131,2025,5,12,0,0.0
379,132,2025,5,13,0,0.0
379,133,2025,5,14,0,0.0
379,134,2025,5,15,0,0.0
379,135,2025,5,16,0,0.0
379,136,2025,5,17,0,0.0
379,137,2025,5,18,0,0.0
379,138,2025,5,19,0,0.0
379,139,2025,5,20,0,0.0
379,140,2025,5,21,0,0.0
379,141,2025,5,22,0,0.0
379,142,2025,5,23,0,0.0
379,143,2025,5,24,0,0.0
379,144,2025,5,25,0,0.0
379,145,2025,5,26,0,0.0
379,146,2025,5,27,0,0.0
379,147,2025,5,28,0,0.0
379,148,2025,5,29,0,0.0
379,149,2025,5,30,0,0.0
379,150,2025,5,31,0,0.0
389,1,2025,1,2,0,0.0
389,2,2025,1,3,0,0.0
389,3,2025,1,4,0,0.0
389,4,2025,1,5,0,0.0
389,5,2025,1,6,0,0.0
389,6,2025,1,7,0,0.0
389,7,2025,1,8,0,0.0
389,8,2025,1,9,0,0.0
389,9,2025,1,10,0,0.0
389,10,2025,1,11,0,0.0
389,11,2025,1,12,0,0.0
389,12,2025,1,13,0,0.0
389,13,2025,1,14,0,0.0
389,14,2025,1,15,0,0.0
389,15,2025,1,16,0,0.0
389,16,2025,1,17,0,0.0
389,17,2025,1,18,0,0.0
389,18,2025,1,19,0,0.0
389,19,2025,1,20,0,0.0
389,20,2025,1,21,0,0.0
389,21,2025,1,22,0,0.0
389,22,2025,1,23,0,0.0
389,23,2025,1,24,0,0.0
389,24,2025,1,25,0,0.0
389,25,2025,1,26,0,0.0
389,26,2025,1,27,0,0.0
389,27,2025,1,28,0,0.0
389,28,2025,1,29,0,0.0
389,29,2025,1,30,0,0.0
389,30,2025,1,31,0,0.0
389,31,2025,2,1,0,0.0
389,32,2025,2,2,0,0.0
389,33,2025,2,3,0,0.0
389,34,2025,2,4,0,0.0
389,35,2025,2,5,0,0.0
389,36,2025,2,6,0,0.0
389,37,2025,2,7,0,0.0
389,38,2025,2,8,0,0.0
389,39,2025,2,9,0,0.0
389,40,2025,2,10,0,0.0
389,41,2025,2,11,0,0.0
389,42,2025,2,12,0,0.0
389,43,2025,2,13,0,0.0
389,44,2025,2,14,0,0.0
389,45,2025,2,15,0,0.0
389,46,2025,2,16,0,0.0
389,47,2025,2,17,0,0.0
389,48,2025,2,18,0,0.0
389,49,2025,2,19,0,0.0
389,50,2025,2,20,0,0.0
389,51,2025,2,21,0,0.0
389,52,2025,2,22,0,0.0
389,53,2025,2,23,0,0.0
389,54,2025,2,24,0,0.0
389,55,2025,2,25,0,0.0
389,56,2025,2,26,0,0.0
389,57,2025,2,27,0,0.0
389,58,2025,2,28,0,0.0
389,59,2025,3,1,0,0.0
389,60,2025,3,2,0,0.0
389,61,2025,3,3,0,0.0
389,62,2025,3,4,0,0.0
389,63,2025,3,5,0,0.0
389,64,2025,3,6,0,0.0
389,65,2025,3,7,0,0.0
389,66,2025,3,8,0,0.0
389,67,2025,3,9,0,0.0
389,68,2025,3,10,0,0.0
389,69,2025,3,11,0,0.0
389,70,2025,3,12,0,0.0
389,71,2025,3,13,0,0.0
389,72,2025,3,14,0,0.0
389,73,2025,3,15,0,0.0
389,74,2025,3,16,0,0.0
389,75,2025,3,17,0,0.0
389,76,2025,3,18,0,0.0
389,77,2025,3,19,0,0.0
389,78,2025,3,20,0,0.0
389,79,2025,3,21,0,0.0
389,80,2025,3,22,0,0.0
389,81,2025,3,23,0,0.0
389,82,2025,3,24,0,0.0
389,83,2025,3,25,0,0.0
389,84,2025,3,26,0,0.0
389,85,2025,3,27,0,0.0
389,86,2025,3,28,0,0.0
389,87,2025,3,29,0,0.0
389,88,2025,3,30,0,0.0
389,89,2025,3,31,0,0.0
389,90,2025,4,1,0,0.0
389,91,2025,4,2,0,0.0
389,92,2025,4,3,0,0.0
389,93,2025,4,4,0,0.0
389,94,2025,4,5,0,0.0
389,95,2025,4,6,0,0.0
389,96,2025,4,7,0,0.0
389,97,2025,4,8,0,0.0
389,98,2025,4,9,0,0.0
389,99,2025,4,10,0,0.0
389,100,2025,4,11,0,0.0
389,101,2025,4,12,0,0.0
389,102,2025,4,13,0,0.0
389,103,2025,4,14,0,0.0
389,104,2025,4,15,0,0.0
389,105,2025,4,16,0,0.0
389,106,2025,4,17,0,0.0
389,107,2025,4,18,0,0.0
389,108,2025,4,19,0,0.0
389,109,2025,4,20,0,0.0
389,110,2025,4,21,0,0.0
